class,cap-shape,cap-surface,cap-color,bruises,odor,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
p,x,s,4,1,p,e,3,2,2,7,7,p,2,1,4,2,s,u
e,x,s,9,1,a,e,2,2,2,7,7,p,2,1,4,3,n,g
e,b,s,8,1,l,e,2,2,2,7,7,p,2,1,4,3,n,m
p,x,y,8,1,p,e,3,2,2,7,7,p,2,1,4,2,s,u
e,x,s,3,0,n,t,3,2,2,7,7,p,2,1,0,3,a,g
e,x,y,9,1,a,e,2,2,2,7,7,p,2,1,4,2,n,g
e,b,s,8,1,a,e,2,2,2,7,7,p,2,1,4,2,n,m
e,b,y,8,1,l,e,2,2,2,7,7,p,2,1,4,3,s,m
p,x,y,8,1,p,e,3,2,2,7,7,p,2,1,4,2,v,g
e,b,s,9,1,a,e,2,2,2,7,7,p,2,1,4,2,s,m
e,x,y,9,1,l,e,2,2,2,7,7,p,2,1,4,3,n,g
e,x,y,9,1,a,e,2,2,2,7,7,p,2,1,4,2,s,m
e,b,s,9,1,a,e,2,2,2,7,7,p,2,1,4,3,s,g
p,x,y,8,1,p,e,3,2,2,7,7,p,2,1,4,3,v,u
e,x,f,4,0,n,t,3,2,0,7,7,p,2,1,0,2,a,g
e,s,f,3,0,n,e,3,2,2,7,7,p,2,1,4,3,y,u
e,f,f,8,0,n,t,3,2,2,7,7,p,2,1,0,3,a,g
p,x,s,4,1,p,e,3,2,2,7,7,p,2,1,4,2,s,g
p,x,y,8,1,p,e,3,2,2,7,7,p,2,1,4,3,s,u
p,x,s,4,1,p,e,3,2,2,7,7,p,2,1,4,3,s,u
e,b,s,9,1,a,e,2,2,2,7,7,p,2,1,4,3,s,m
p,x,y,4,1,p,e,3,2,2,7,7,p,2,1,4,3,v,g
e,b,y,9,1,l,e,2,2,2,7,7,p,2,1,4,3,s,m
e,b,y,8,1,a,e,2,2,2,7,7,p,2,1,4,3,n,m
e,b,s,8,1,l,e,2,2,2,7,7,p,2,1,4,2,s,m
p,f,s,8,1,p,e,3,2,2,7,7,p,2,1,4,3,v,g
e,x,y,9,1,a,e,2,2,2,7,7,p,2,1,4,3,n,m
e,x,y,8,1,l,e,2,2,2,7,7,p,2,1,4,3,n,m
e,f,f,4,0,n,e,3,2,2,7,7,p,2,1,4,2,y,u
e,x,s,9,1,a,t,1,2,2,7,7,p,2,1,4,3,v,d
e,b,s,9,1,l,e,2,2,2,7,7,p,2,1,4,3,n,m
p,x,y,8,1,p,e,3,2,2,7,7,p,2,1,4,3,s,u
e,x,y,9,1,l,e,2,2,2,7,7,p,2,1,4,3,n,m
e,x,y,4,1,l,e,4,2,3,7,7,p,2,1,4,3,y,p
e,b,y,9,1,l,e,2,2,2,7,7,p,2,1,4,3,s,m
e,x,f,9,1,l,t,1,2,2,7,7,p,2,1,4,3,v,d
e,s,f,3,0,n,e,3,2,2,7,7,p,2,1,4,2,v,u
p,x,y,4,1,p,e,3,2,2,7,7,p,2,1,4,3,s,u
e,x,f,9,1,a,t,1,2,2,7,7,p,2,1,4,3,v,d
e,b,s,9,1,l,e,2,2,2,7,7,p,2,1,4,2,s,m
e,b,y,9,1,a,e,2,2,2,7,7,p,2,1,4,3,s,g
e,x,y,9,1,l,e,4,2,3,7,7,p,2,1,4,2,y,p
e,x,f,4,0,n,e,3,2,2,7,7,p,2,1,4,2,y,u
p,x,y,8,1,p,e,3,2,2,7,7,p,2,1,4,3,v,g
e,x,s,9,1,a,e,2,2,2,7,7,p,2,1,4,2,n,m
e,x,y,8,1,a,e,2,2,2,7,7,p,2,1,4,3,n,g
e,x,y,9,1,l,e,2,2,2,7,7,p,2,1,4,2,s,m
e,x,s,8,1,l,e,2,2,2,7,7,p,2,1,4,3,n,m
e,x,y,9,1,l,e,4,2,3,7,7,p,2,1,4,3,s,p
e,f,y,9,1,l,e,4,2,3,7,7,p,2,1,4,2,s,p
e,x,y,4,1,a,e,4,2,3,7,7,p,2,1,4,2,s,g
e,x,s,8,1,l,e,2,2,2,7,7,p,2,1,4,2,s,g
e,b,s,8,1,l,e,2,2,2,7,7,p,2,1,4,3,n,m
p,x,y,4,1,p,e,3,2,2,7,7,p,2,1,4,3,v,u
p,x,s,8,1,p,e,3,2,2,7,7,p,2,1,4,2,v,u
e,b,y,9,1,a,e,2,2,2,7,7,p,2,1,4,2,s,m
e,f,f,3,0,n,t,3,2,2,7,7,p,2,1,0,3,a,g
e,b,s,8,1,a,e,2,2,2,7,7,p,2,1,4,3,n,g
e,x,s,9,1,l,e,2,2,2,7,7,p,2,1,4,2,n,g
e,x,y,4,1,a,e,4,2,3,7,7,p,2,1,4,2,y,p
e,s,f,3,0,n,e,3,2,2,7,7,p,2,1,4,3,v,u
e,b,y,9,1,a,e,2,2,2,7,7,p,2,1,4,3,s,m
e,b,s,9,1,l,e,2,2,2,7,7,p,2,1,4,3,s,m
e,b,y,9,1,l,e,2,2,2,7,7,p,2,1,4,3,n,m
e,b,y,8,1,l,e,2,2,2,7,7,p,2,1,4,3,s,g
e,f,s,4,0,n,t,3,2,2,7,7,p,2,1,0,2,a,g
e,x,s,8,1,l,e,2,2,2,7,7,p,2,1,4,2,s,g
e,f,y,9,1,a,e,4,2,3,7,7,p,2,1,4,3,s,g
e,x,y,9,1,a,e,2,2,2,7,7,p,2,1,4,2,n,g
e,x,f,3,0,n,e,3,2,2,7,7,p,2,1,4,3,v,u
e,f,f,9,1,l,t,1,2,2,7,7,p,2,1,4,3,v,d
e,b,y,8,1,l,e,2,2,2,7,7,p,2,1,4,3,s,m
e,f,f,9,1,l,t,1,2,2,7,7,p,2,1,4,3,v,d
e,x,y,4,1,a,e,4,2,3,7,7,p,2,1,4,2,s,p
e,b,s,9,1,a,e,2,2,2,7,7,p,2,1,4,2,s,g
e,f,s,9,1,l,t,1,2,2,7,7,p,2,1,4,3,v,d
e,x,s,8,1,l,t,1,2,2,7,7,p,2,1,4,6,v,d
e,f,y,4,1,l,e,4,2,3,7,7,p,2,1,4,3,y,p
p,x,y,4,1,p,e,3,2,2,7,7,p,2,1,4,3,v,u
e,f,y,4,1,a,e,4,2,3,7,7,p,2,1,4,3,y,g
e,x,s,4,0,n,t,3,0,2,7,7,p,2,1,0,3,s,g
p,x,y,8,1,p,e,3,2,2,7,7,p,2,1,4,2,s,g
e,f,f,3,0,n,e,3,2,2,7,7,p,2,1,4,3,y,u
e,x,f,3,0,n,t,3,2,2,7,7,p,2,1,0,3,s,g
e,x,y,9,1,l,e,4,2,3,7,7,p,2,1,4,2,s,g
e,x,s,4,0,n,t,3,2,2,7,7,p,2,1,0,2,s,g
e,b,s,8,1,a,e,2,2,2,7,7,p,2,1,4,2,s,g
e,x,s,8,1,l,e,2,2,2,7,7,p,2,1,4,3,s,g
e,f,y,4,1,l,e,4,2,3,7,7,p,2,1,4,2,y,g
e,s,f,4,0,n,e,3,2,2,7,7,p,2,1,4,3,v,u
e,x,f,4,0,n,e,3,2,2,7,7,p,2,1,4,3,y,u
e,b,s,8,1,l,e,2,2,2,7,7,p,2,1,4,2,s,g
e,x,y,9,1,a,e,2,2,2,7,7,p,2,1,4,2,s,g
e,x,y,9,1,l,e,2,2,2,7,7,p,2,1,4,2,n,m
e,x,s,4,0,n,t,3,2,2,7,7,p,2,1,0,3,a,g
e,x,s,8,1,a,e,2,2,2,7,7,p,2,1,4,3,s,g
e,f,y,4,1,l,e,4,2,3,7,7,p,2,1,4,3,s,g
e,x,s,9,1,a,e,2,2,2,7,7,p,2,1,4,2,n,g
e,b,s,8,1,a,e,2,2,2,7,7,p,2,1,4,3,s,g
e,x,y,8,1,a,e,2,2,2,7,7,p,2,1,4,2,s,g
e,x,f,4,0,n,t,3,0,2,7,7,p,2,1,0,2,s,g
e,b,s,9,1,l,e,2,2,2,7,7,p,2,1,4,2,n,g
e,f,y,9,1,l,e,4,2,3,7,7,p,2,1,4,3,s,g
e,x,y,9,1,a,e,4,2,3,7,7,p,2,1,4,2,y,p
e,b,y,8,1,l,e,2,2,2,7,7,p,2,1,4,3,n,g
e,x,y,9,1,a,e,2,2,2,7,7,p,2,1,4,2,n,m
e,x,y,9,1,a,e,4,2,3,7,7,p,2,1,4,3,y,g
e,b,y,8,1,l,e,2,2,2,7,7,p,2,1,4,2,s,m
e,b,y,8,1,a,e,2,2,2,7,7,p,2,1,4,3,s,m
e,x,s,9,1,a,e,2,2,2,7,7,p,2,1,4,2,n,m
e,x,s,9,1,l,e,2,2,2,7,7,p,2,1,4,2,n,g
e,s,f,3,0,n,e,3,2,2,7,7,p,2,1,4,2,y,u
e,x,f,8,1,a,t,1,2,2,7,7,p,2,1,4,6,v,d
e,x,s,9,1,a,e,2,2,2,7,7,p,2,1,4,2,n,m
p,x,y,8,1,p,e,3,2,2,7,7,p,2,1,4,3,v,u
e,x,y,9,1,l,e,4,2,3,7,7,p,2,1,4,3,s,g
e,s,f,3,0,n,e,3,2,2,7,7,p,2,1,4,3,y,u
e,x,y,9,1,l,e,4,2,3,7,7,p,2,1,4,2,y,g
e,x,s,9,1,l,t,1,2,2,7,7,p,2,1,4,6,v,d
e,s,f,4,0,n,e,3,2,2,7,7,p,2,1,4,3,y,u
p,x,s,8,1,p,e,3,2,2,7,7,p,2,1,4,2,v,g
e,x,y,8,1,a,e,2,2,2,7,7,p,2,1,4,3,n,m
p,f,y,4,1,p,e,3,2,2,7,7,p,2,1,4,2,v,g
e,f,s,3,0,n,t,3,2,2,7,7,p,2,1,0,3,a,g
e,x,s,9,1,l,e,2,2,2,7,7,p,2,1,4,3,s,m
e,x,s,8,0,n,t,3,2,0,7,7,p,2,1,0,2,s,g
e,b,s,9,1,a,e,2,2,2,7,7,p,2,1,4,3,n,g
e,f,f,3,0,n,t,3,2,2,7,7,p,2,1,0,3,a,g
e,x,s,8,1,l,e,2,2,2,7,7,p,2,1,4,2,n,g
e,b,s,8,1,l,e,2,2,2,7,7,p,2,1,4,3,s,m
e,b,s,8,1,l,e,2,2,2,7,7,p,2,1,4,3,s,g
e,b,y,8,1,l,e,2,2,2,7,7,p,2,1,4,3,s,m
e,f,s,8,1,l,t,1,2,2,7,7,p,2,1,4,6,v,d
e,x,y,9,1,l,e,2,2,2,7,7,p,2,1,4,2,s,m
e,f,s,8,1,a,t,1,2,2,7,7,p,2,1,4,3,v,d
p,x,y,8,1,p,e,3,2,2,7,7,p,2,1,4,3,v,u
e,f,f,8,1,l,t,1,2,2,7,7,p,2,1,4,3,v,d
e,x,y,9,1,a,e,2,2,2,7,7,p,2,1,4,3,s,g
p,x,s,4,1,p,e,3,2,2,7,7,p,2,1,4,3,v,g
e,b,s,9,1,l,e,2,2,2,7,7,p,2,1,4,3,n,g
e,x,y,4,1,a,e,4,2,3,7,7,p,2,1,4,2,y,p
e,b,y,9,1,l,e,2,2,2,7,7,p,2,1,4,2,n,m
e,s,f,4,0,n,e,3,2,2,7,7,p,2,1,4,3,v,u
e,f,y,4,1,a,e,4,2,3,7,7,p,2,1,4,2,y,p
e,x,y,9,1,a,e,2,2,2,7,7,p,2,1,4,2,n,g
e,x,f,3,0,n,t,3,0,0,7,7,p,2,1,0,2,s,g
e,f,f,8,0,n,t,3,2,0,7,7,p,2,1,0,3,a,g
e,x,y,9,1,l,e,2,2,2,7,7,p,2,1,4,3,n,m
e,b,s,9,1,l,e,2,2,2,7,7,p,2,1,4,2,n,g
e,b,y,8,1,a,e,2,2,2,7,7,p,2,1,4,2,n,m
e,x,y,8,1,a,e,2,2,2,7,7,p,2,1,4,3,s,g
e,x,s,4,0,n,t,3,0,2,7,7,p,2,1,0,3,a,g
e,x,y,8,1,l,e,2,2,2,7,7,p,2,1,4,3,s,g
e,s,f,4,0,n,e,3,2,2,7,7,p,2,1,4,2,v,u
e,x,s,8,1,a,t,1,2,2,7,7,p,2,1,4,6,v,d
e,x,y,4,1,l,e,4,2,3,7,7,p,2,1,4,2,s,g
e,b,y,9,1,a,e,2,2,2,7,7,p,2,1,4,3,n,g
e,x,y,8,1,a,e,2,2,2,7,7,p,2,1,4,3,n,g
e,b,y,8,1,a,e,2,2,2,7,7,p,2,1,4,2,s,m
e,b,s,9,1,a,e,2,2,2,7,7,p,2,1,4,2,s,g
e,b,s,9,1,l,e,2,2,2,7,7,p,2,1,4,2,s,m
e,b,y,9,1,a,e,2,2,2,7,7,p,2,1,4,2,n,g
e,x,f,4,0,n,e,3,2,2,7,7,p,2,1,4,3,y,u
e,f,y,4,1,l,e,4,2,3,7,7,p,2,1,4,3,y,g
e,x,y,8,1,a,e,2,2,2,7,7,p,2,1,4,3,s,g
e,f,y,9,1,l,e,4,2,3,7,7,p,2,1,4,3,y,p
e,b,s,8,1,a,e,2,2,2,7,7,p,2,1,4,3,s,g
e,b,s,8,1,a,e,2,2,2,7,7,p,2,1,4,2,s,m
e,x,y,4,1,l,e,4,2,3,7,7,p,2,1,4,2,y,g
e,b,s,8,1,a,e,2,2,2,7,7,p,2,1,4,2,s,g
e,x,f,3,0,n,e,3,2,2,7,7,p,2,1,4,3,y,u
e,b,s,9,1,l,e,2,2,2,7,7,p,2,1,4,3,s,g
e,x,f,9,1,l,t,1,2,2,7,7,p,2,1,4,6,v,d
e,b,y,9,1,a,e,2,2,2,7,7,p,2,1,4,2,s,g
e,f,y,9,1,l,e,4,2,3,7,7,p,2,1,4,3,s,g
e,b,y,8,1,l,e,2,2,2,7,7,p,2,1,4,2,n,m
e,b,y,8,1,a,e,2,2,2,7,7,p,2,1,4,2,n,m
e,b,y,9,1,a,e,2,2,2,7,7,p,2,1,4,3,s,g
e,x,y,9,1,l,e,2,2,2,7,7,p,2,1,4,3,n,m
e,b,s,9,1,l,e,2,2,2,7,7,p,2,1,4,3,n,g
p,x,y,8,1,p,e,3,2,2,7,7,p,2,1,4,3,v,u
e,s,f,4,0,n,e,3,2,2,7,7,p,2,1,4,3,y,u
e,f,f,4,0,n,e,3,2,2,7,7,p,2,1,4,2,v,u
e,x,s,9,1,a,e,2,2,2,7,7,p,2,1,4,3,s,m
e,f,y,4,1,a,e,4,2,3,7,7,p,2,1,4,2,s,p
p,x,y,8,1,p,e,3,2,2,7,7,p,2,1,4,2,s,g
e,b,s,8,1,l,e,2,2,2,7,7,p,2,1,4,3,s,m
e,f,f,3,0,n,e,3,2,2,7,7,p,2,1,4,2,v,u
e,b,y,9,1,l,e,2,2,2,7,7,p,2,1,4,3,n,g
e,x,y,4,1,a,e,4,2,3,7,7,p,2,1,4,3,y,p
e,x,f,8,0,n,t,3,2,0,7,7,p,2,1,0,2,s,g
e,x,s,8,1,l,t,1,2,2,7,7,p,2,1,4,3,v,d
e,b,s,8,1,l,e,2,2,2,7,7,p,2,1,4,3,s,m
e,f,s,9,1,a,t,1,2,2,7,7,p,2,1,4,3,v,d
e,x,s,9,1,a,e,2,2,2,7,7,p,2,1,4,3,n,m
e,f,f,3,0,n,e,3,2,2,7,7,p,2,1,4,3,y,u
e,b,s,9,1,a,e,2,2,2,7,7,p,2,1,4,2,s,g
e,x,s,8,1,l,e,2,2,2,7,7,p,2,1,4,3,n,m
e,x,y,8,1,l,e,2,2,2,7,7,p,2,1,4,3,s,m
e,f,s,8,1,a,t,1,2,2,7,7,p,2,1,4,3,v,d
e,x,y,9,1,l,e,2,2,2,7,7,p,2,1,4,3,s,g
e,b,s,8,1,l,e,2,2,2,7,7,p,2,1,4,2,s,g
e,x,s,8,1,a,e,2,2,2,7,7,p,2,1,4,2,n,g
e,x,f,8,0,n,t,3,0,2,7,7,p,2,1,0,2,s,g
e,f,y,4,1,l,e,4,2,3,7,7,p,2,1,4,2,y,p
p,x,s,8,1,p,e,3,2,2,7,7,p,2,1,4,3,v,u
e,b,s,8,1,a,e,2,2,2,7,7,p,2,1,4,3,n,g
e,b,s,8,1,a,e,2,2,2,7,7,p,2,1,4,2,s,m
e,b,y,8,1,l,e,2,2,2,7,7,p,2,1,4,3,n,g
e,b,y,8,1,a,e,2,2,2,7,7,p,2,1,4,2,n,g
e,x,s,9,1,a,e,2,2,2,7,7,p,2,1,4,2,s,g
e,b,s,8,1,l,e,2,2,2,7,7,p,2,1,4,2,n,m
e,x,f,9,1,a,t,1,2,2,7,7,p,2,1,4,3,v,d
e,x,f,3,0,n,e,3,2,2,7,7,p,2,1,4,3,y,u
e,f,y,9,1,a,e,4,2,3,7,7,p,2,1,4,3,s,g
e,b,s,8,1,l,e,2,2,2,7,7,p,2,1,4,2,n,m
e,x,s,9,1,a,e,2,2,2,7,7,p,2,1,4,2,s,g
e,x,y,9,1,a,e,2,2,2,7,7,p,2,1,4,2,s,g
e,x,y,8,1,l,e,2,2,2,7,7,p,2,1,4,3,s,g
e,s,f,3,0,n,e,3,2,2,7,7,p,2,1,4,3,v,u
e,x,s,8,1,a,e,2,2,2,7,7,p,2,1,4,3,n,m
p,x,s,8,1,p,e,3,2,2,7,7,p,2,1,4,2,s,g
e,x,y,9,1,a,e,4,2,3,7,7,p,2,1,4,3,s,g
e,f,f,8,1,a,t,1,2,2,7,7,p,2,1,4,3,v,d
e,x,y,8,1,l,e,2,2,2,7,7,p,2,1,4,2,n,m
e,b,y,8,1,l,e,2,2,2,7,7,p,2,1,4,2,s,g
e,x,s,8,1,a,e,2,2,2,7,7,p,2,1,4,3,n,g
e,x,s,9,1,a,e,2,2,2,7,7,p,2,1,4,3,s,g
p,x,y,4,1,p,e,3,2,2,7,7,p,2,1,4,2,v,u
e,b,s,9,1,a,e,2,2,2,7,7,p,2,1,4,3,n,g
e,x,f,3,0,n,e,3,2,2,7,7,p,2,1,4,2,y,u
p,x,y,8,1,p,e,3,2,2,7,7,p,2,1,4,2,s,u
e,x,y,9,1,l,e,4,2,3,7,7,p,2,1,4,3,y,p
e,f,f,4,0,n,e,3,2,2,7,7,p,2,1,4,2,v,u
e,b,s,8,1,l,e,2,2,2,7,7,p,2,1,4,3,n,g
e,x,f,8,1,l,t,1,2,2,7,7,p,2,1,4,3,v,d
e,x,y,8,1,l,e,2,2,2,7,7,p,2,1,4,2,s,g
e,b,y,9,1,l,e,2,2,2,7,7,p,2,1,4,3,s,g
e,x,y,9,1,l,e,4,2,3,7,7,p,2,1,4,2,s,g
e,f,y,9,1,a,e,4,2,3,7,7,p,2,1,4,2,s,p
e,f,y,9,1,a,e,4,2,3,7,7,p,2,1,4,2,y,p
e,x,s,8,1,l,e,2,2,2,7,7,p,2,1,4,2,s,g
e,x,s,8,1,a,e,2,2,2,7,7,p,2,1,4,3,n,m
p,x,s,8,1,p,e,3,2,2,7,7,p,2,1,4,2,v,u
e,f,f,8,1,a,t,1,2,2,7,7,p,2,1,4,6,v,d
e,x,s,8,1,l,e,2,2,2,7,7,p,2,1,4,3,s,g
